[(c1,KVSERROR)]
[(chave2,valor-exemplo)]
[(chaveAleatoria,KVSMISSING)]
Waiting...
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
(chave313132,valor-exemplo)
(chave232,valor-exemplo)
(chave23,valor-exemplo)
(chave2,valor-exemplo2)
(umaChave,umValor)
